"sim","true_hr","method","n_patients","n_events_available","crossed","crossing_event","final_evalue","log_final_evalue","final_log_hr","final_hr"
992,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.00534778339268132,-5.23107312305309,-0.0138237079692596,0.986271400725752
992,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.00534778339268132,-5.23107312305309,-0.0138237079692596,0.986271400725752
992,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.00159905595018753,-6.43834185500606,-0.00851957777852437,0.991516610980334
993,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.0358921562332825,-3.32723649668378,-0.0603571082534942,0.941428281739186
993,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,0.0358921562332825,-3.32723649668378,-0.0603571082534942,0.941428281739186
993,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.0373227318272006,-3.28815270559623,-0.0651992655791971,0.936880756689293
994,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00226381050102839,-6.09070582310351,-0.0346505021401195,0.965942952264658
994,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00226381050102839,-6.09070582310351,-0.0346505021401195,0.965942952264658
994,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00232379910583078,-6.0645518870031,-0.0291715465931236,0.971249835574339
995,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.498805930727805,-0.695538175255352,-0.129692704434787,0.878365307216087
995,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.498805930727805,-0.695538175255352,-0.129692704434787,0.878365307216087
995,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.812154856262617,-0.208064247320213,-0.128468239624663,0.879441493366781
996,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.00228398452599085,-6.08183376217155,0.0284214238305629,1.02882916620345
996,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.00228398452599085,-6.08183376217155,0.0284214238305629,1.02882916620345
996,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.00147205185922566,-6.52109802884381,0.0246315235945303,1.0249373856918
997,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00932515620403997,-4.67503956248907,-0.0264063361786807,0.97393926243658
997,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00932515620403997,-4.67503956248907,-0.0264063361786807,0.97393926243658
997,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0113080063955472,-4.48224427357374,-0.0240231445489676,0.976263114326975
998,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00165401782524502,-6.4045479053861,0.00852110984943325,1.00855751784467
998,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00165401782524502,-6.4045479053861,0.00852110984943325,1.00855751784467
998,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.00270874563413717,-5.91126961687793,0.00458700619380292,1.00459754261076
999,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.310061062030875,-1.17098602660669,0.108466862378954,1.11456797379523
999,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.310061062030875,-1.17098602660669,0.108466862378954,1.11456797379523
999,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.054831599041959,-2.90348862635913,0.107969404795868,1.11401366138969
1000,1,"Simultaneous entry, time-on-study order",631,627,FALSE,NA,0.00444618590746208,-5.41570864977046,-0.0793819293133723,0.923687073897488
1000,1,"Staggered entry, time-on-study order",631,627,FALSE,NA,0.00444618590746208,-5.41570864977046,-0.0793819293133723,0.923687073897488
1000,1,"Staggered entry, calendar-event order",631,627,FALSE,NA,0.0439113909146927,-3.12558151841982,-0.0833610154276884,0.920018946225538
1,0.8,"Simultaneous entry, time-on-study order",631,625,TRUE,332,1246.00161976611,7.12769499931936,-0.327593689331909,0.720655770354935
1,0.8,"Staggered entry, time-on-study order",631,625,TRUE,332,1246.00161976611,7.12769499931936,-0.327593689331909,0.720655770354935
1,0.8,"Staggered entry, calendar-event order",631,626,TRUE,333,1275.49349409983,7.15108843690232,-0.326009597355276,0.721798260044135
2,0.8,"Simultaneous entry, time-on-study order",631,628,TRUE,242,45.2816318620194,3.81290147260108,-0.247575504487216,0.780691272891304
2,0.8,"Staggered entry, time-on-study order",631,628,TRUE,242,45.2816318620194,3.81290147260108,-0.247575504487216,0.780691272891304
2,0.8,"Staggered entry, calendar-event order",631,627,TRUE,228,96.6373493983896,4.57096530622747,-0.249838987122624,0.778926190122194
3,0.8,"Simultaneous entry, time-on-study order",631,629,TRUE,501,42.8490563017904,3.75768362150583,-0.229380598294595,0.795025890417974
3,0.8,"Staggered entry, time-on-study order",631,629,TRUE,501,42.8490563017904,3.75768362150583,-0.229380598294595,0.795025890417974
3,0.8,"Staggered entry, calendar-event order",631,629,TRUE,469,51.9989049269637,3.95122265926283,-0.231846126450073,0.79306814612938
4,0.8,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,5.64097670690491,1.73005722550005,-0.204645903583879,0.814935831184567
4,0.8,"Staggered entry, time-on-study order",631,629,FALSE,NA,5.64097670690491,1.73005722550005,-0.204645903583879,0.814935831184567
4,0.8,"Staggered entry, calendar-event order",631,629,TRUE,512,12.5514523564754,2.52983638449767,-0.202661553834715,0.816554554422125
5,0.8,"Simultaneous entry, time-on-study order",631,622,TRUE,423,130.150030709943,4.86868786739862,-0.270913699891085,0.76268231313172
5,0.8,"Staggered entry, time-on-study order",631,622,TRUE,423,130.150030709943,4.86868786739862,-0.270913699891085,0.76268231313172
5,0.8,"Staggered entry, calendar-event order",631,622,TRUE,598,24.9529852672458,3.21699346502985,-0.268138248267074,0.764802041237
6,0.8,"Simultaneous entry, time-on-study order",631,628,TRUE,177,319.644100671392,5.76720819145473,-0.296158123648496,0.743669826936357
6,0.8,"Staggered entry, time-on-study order",631,628,TRUE,177,319.644100671392,5.76720819145473,-0.296158123648496,0.743669826936357
6,0.8,"Staggered entry, calendar-event order",631,627,TRUE,188,253.053590912064,5.53360128808327,-0.295125943758812,0.744437824263799
7,0.8,"Simultaneous entry, time-on-study order",631,629,TRUE,205,25.3833696777429,3.23409422249382,-0.237228601453235,0.788810944076808
7,0.8,"Staggered entry, time-on-study order",631,629,TRUE,205,25.3833696777429,3.23409422249382,-0.237228601453235,0.788810944076808
7,0.8,"Staggered entry, calendar-event order",631,630,TRUE,173,35.2189095064341,3.5615831402501,-0.239415176205097,0.787088034304453
8,0.8,"Simultaneous entry, time-on-study order",631,627,FALSE,NA,14.0097036647594,2.63975020843067,-0.240293182476964,0.786397269366171
