"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","design_method","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,75,0.367,0.0152417518678136,330,2.51047659283678,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,75,0.358,0.0151603430040352,348,2.57086915033489,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,100,0.374,0.0153011110707687,334,2.26140553221135,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,100,0.345,0.0150324648677454,341,2.24811583115902,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,20,100,0.374,0.0153011110707687,324.5,2.51467470731688,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,100,0.395,0.0154588162548107,320,2.86760937473941,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,20,0.035,0.00581162627841812,45,0.145014312365802,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,20,0.022,0.00463853425124791,75.5,0.235315315206562,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,20,20,0.026,0.00503229569878401,108.5,0.298914600886664,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,20,0.023,0.00474035863622153,146,0.354502834004055,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,35,0.031,0.00548078461536302,47,0.204431422320165,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,35,0.03,0.00539444158370447,107,0.274798919496042,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,20,35,0.016,0.00396787096564392,148,0.330422934072315,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,35,0.02,0.00442718872423573,163,0.374259898027513,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,50,0.02,0.00442718872423573,87,0.24911436831649,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,50,0.012,0.00344325427466517,108,0.308920095000513,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,20,50,0.025,0.00493710441453287,135,0.369513831743656,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,50,0.016,0.00396787096564392,139,0.40321071172874,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,75,0.027,0.00512552436341883,112,0.30489765115484,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,75,0.027,0.00512552436341883,128,0.368497791775853,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,20,75,0.025,0.00493710441453287,162,0.403540898003952,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,75,0.015,0.00384382621875651,167,0.452335003265328,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,100,0.024,0.00483983470792134,177.5,0.355493366589404,0.8,0.05,1000
